outcome,KE_CyHex,KE_FeO,KE_H70,Q.No_1,Q.No_2,Q.No_3,Q.No_4,Q.No_5,Q.No_6,Q.No_7,Q.No_8,Q.No_9,Q.No_10,Q.No_11,Q.No_12,Q.No_13,Q.No_14,Q.No_15,Q.No_16,Q.No_17,Q.No_18,Q.No_19,Q.No_20,Q.No_21,Q.No_22,Q.No_23,Q.No_24,Q.No_25,Q.No_26,Q.No_27,Q.No_28,Q.No_29,Q.No_30,Mod_Vel_1,Mod_Vel_2,Mod_Vel_3,Mod_Vel_4,Mod_Vel_5,Mod_Vel_6,Mod_Vel_7,Mod_Vel_8,Mod_Vel_9,Mod_Vel_10,Mod_Vel_11,Mod_Vel_12,Mod_Vel_13,Mod_Vel_14,Mod_Vel_15,Mod_Vel_16,Mod_Vel_17,Mod_Vel_18,Mod_Vel_19,Mod_Vel_20,Mod_Vel_21,Mod_Vel_22,Mod_Vel_23,Mod_Vel_24,Mod_Vel_25,Mod_Vel_26,Mod_Vel_27,Mod_Vel_28,Mod_Vel_29,Mod_Vel_30,Mod_Ener_1,Mod_Ener_2,Mod_Ener_3,Mod_Ener_4,Mod_Ener_5,Mod_Ener_6,Mod_Ener_7,Mod_Ener_8,Mod_Ener_9,Mod_Ener_10,Mod_Ener_11,Mod_Ener_12,Mod_Ener_13,Mod_Ener_14,Mod_Ener_15,Mod_Ener_16,Mod_Ener_17,Mod_Ener_18,Mod_Ener_19,Mod_Ener_20,Mod_Ener_21,Mod_Ener_22,Mod_Ener_23,Mod_Ener_24,Mod_Ener_25,Mod_Ener_26,Mod_Ener_27,Mod_Ener_28,Mod_Ener_29,Mod_Ener_30
0,102.2738956,320.8635107,5.325370576,19,48,37,15,2,9,3,4,0,0,1,0,6,2,3,0,0,1,1,1,1,0,0,0,0,0,2,2,0,0,-7.75E+02,1.99E+03,-1.81E+03,1.21E+03,-5.26E+02,1.18E+03,1.08E+03,1.05E+03,3.31E+02,3.91E+02,6.44E+02,4.88E+02,1.87E+03,9.80E+02,1.15E+03,5.08E+02,4.86E+02,-9.58E+02,-1.08E+03,-1.06E+03,-1.16E+03,-5.35E+02,-7.17E+02,-6.45E+02,5.17E+02,7.23E+02,-1.04E+03,-1.54E+03,-1.25E+03,-4.94E+02,0.108647,2.437473,1.972026,0.855592,0.181165,0.800539,0.434953,0.588311,0.074952,0.089883,0.298248,0.118239,1.623609,0.749205,1.092021,0.178925,0.185461,0.604123,0.641624,0.682568,0.706848,0.246148,0.272052,0.276581,0.292681,0.298151,1.543179,1.666697,0.337582,0.355769
0,100.0967384,317.6703673,6.151381645,8,5,2,6,10,3,3,0,1,0,1,5,2,0,0,0,5,1,2,1,1,2,0,0,1,0,1,0,0,0,-5.03E+02,-6.72E+02,-4.67E+02,7.83E+02,1.08E+03,-7.18E+02,-1.08E+03,-3.48E+02,-5.73E+02,3.91E+02,6.44E+02,-1.62E+03,-1.16E+03,4.38E+02,-4.34E+02,5.08E+02,1.61E+03,9.58E+02,-1.39E+03,1.06E+03,-1.16E+03,-1.20E+03,-7.17E+02,6.45E+02,8.96E+02,7.23E+02,8.05E+02,-6.87E+02,1.25E+03,4.94E+02,0.045746,0.276414,0.131468,0.358797,0.760891,0.294935,0.434953,0.065368,0.224857,0.089883,0.298248,1.300626,0.624465,0.149841,0.156003,0.178925,2.040076,0.604123,1.069374,0.682568,0.706848,1.230738,0.272052,0.276581,0.878042,0.298151,0.925907,0.333339,0.337582,0.355769
0,98.75853597,311.4404368,4.536946102,36,1,7,5,2,0,32,1,10,0,3,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,-1.07E+03,3.51E+02,-8.10E+02,7.20E+02,-5.26E+02,2.71E+02,-3.28E+03,6.04E+02,-1.51E+03,-3.91E+02,9.83E+02,-1.09E+03,-5.18E+02,-7.59E+02,-4.34E+02,-5.08E+02,4.86E+02,-5.53E+02,6.22E+02,-6.10E+02,-6.69E+02,5.35E+02,7.17E+02,1.12E+03,8.96E+02,7.23E+02,4.65E+02,-6.87E+02,-2.17E+03,4.94E+02,0.205858,0.075386,0.394405,0.303597,0.181165,0.042134,4.038853,0.196104,1.574001,0.089883,0.695912,0.591194,0.124893,0.449523,0.156003,0.178925,0.185461,0.201374,0.213875,0.227523,0.235616,0.246148,0.272052,0.829742,0.878042,0.298151,0.308636,0.333339,1.012746,0.355769
0,102.3845722,310.4837804,3.823037137,4,11,0,15,0,0,11,0,1,3,0,1,2,0,0,3,2,2,0,0,0,1,1,0,0,1,0,1,0,0,-3.55E+02,9.71E+02,2.09E+02,1.21E+03,-2.35E+02,-2.71E+02,1.95E+03,3.48E+02,-5.73E+02,1.04E+03,3.72E+02,-8.45E+02,-1.16E+03,4.38E+02,4.34E+02,1.34E+03,-1.09E+03,1.24E+03,-6.22E+02,-6.10E+02,-6.69E+02,9.26E+02,-1.24E+03,-6.45E+02,5.17E+02,-1.25E+03,-4.65E+02,-1.19E+03,-1.25E+03,4.94E+02,0.022873,0.577957,0.026294,0.855592,0.036233,0.042134,1.429132,0.065368,0.224857,0.629181,0.099416,0.354716,0.624465,0.149841,0.156003,1.252477,0.927307,1.006872,0.213875,0.227523,0.235616,0.738443,0.816155,0.276581,0.292681,0.894454,0.308636,1.000018,0.337582,0.355769
0,117.1236564,300.6796646,3.549948791,141,9,8,4,1,1,9,6,0,2,0,0,0,0,1,6,0,1,0,0,2,0,2,0,0,3,0,1,3,0,-2.11E+03,-8.83E+02,-8.62E+02,-6.52E+02,4.08E+02,-4.70E+02,1.77E+03,-1.26E+03,3.31E+02,8.75E+02,3.72E+02,4.88E+02,5.18E+02,4.38E+02,7.52E+02,1.83E+03,-4.86E+02,-9.58E+02,6.22E+02,6.10E+02,1.50E+03,5.35E+02,1.60E+03,-6.45E+02,-5.17E+02,1.91E+03,-4.65E+02,-1.19E+03,-3.31E+03,-4.94E+02,0.806278,0.477443,0.446993,0.248398,0.108699,0.126401,1.180588,0.849782,0.074952,0.449415,0.099416,0.118239,0.124893,0.149841,0.468009,2.326029,0.185461,0.604123,0.213875,0.227523,1.178079,0.246148,1.360259,0.276581,0.292681,2.08706,0.308636,1.000018,2.363074,0.355769
0,97.94877853,316.2179435,2.60895059,128,7,14,2,22,1,1,0,14,6,0,0,0,2,1,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,-2.01E+03,7.84E+02,-1.13E+03,-4.86E+02,1.58E+03,4.70E+02,7.04E+02,-3.48E+02,-1.78E+03,1.41E+03,3.72E+02,-4.88E+02,-5.18E+02,9.80E+02,7.52E+02,5.08E+02,4.86E+02,9.58E+02,1.65E+03,-6.10E+02,-6.69E+02,9.26E+02,-7.17E+02,-6.45E+02,-5.17E+02,7.23E+02,-4.65E+02,-6.87E+02,1.25E+03,4.94E+02,0.731941,0.376929,0.762517,0.137999,1.630482,0.126401,0.186409,0.065368,2.173621,1.168479,0.099416,0.118239,0.124893,0.749205,0.468009,0.178925,0.185461,0.604123,1.497124,0.227523,0.235616,0.738443,0.272052,0.276581,0.292681,0.298151,0.308636,0.333339,0.337582,0.355769
0,102.5218656,309.7645222,6.116566834,1,18,16,5,3,1,2,6,0,7,1,2,1,1,3,0,1,1,1,0,0,4,0,1,0,0,0,0,0,0,-1.78E+02,-1.23E+03,1.20E+03,-7.20E+02,6.23E+02,4.70E+02,9.09E+02,-1.26E+03,3.31E+02,1.52E+03,6.44E+02,1.09E+03,8.98E+02,-7.59E+02,-1.15E+03,5.08E+02,-8.42E+02,9.58E+02,1.08E+03,-6.10E+02,-6.69E+02,-1.60E+03,-7.17E+02,1.12E+03,5.17E+02,7.23E+02,-4.65E+02,-6.87E+02,1.25E+03,-4.94E+02,0.005718,0.929758,0.867692,0.303597,0.25363,0.126401,0.310681,0.849782,0.074952,1.348246,0.298248,0.591194,0.374679,0.449523,1.092021,0.178925,0.556384,0.604123,0.641624,0.227523,0.235616,2.215329,0.272052,0.829742,0.292681,0.298151,0.308636,0.333339,0.337582,0.355769
0,106.6783563,309.8317175,0.622801311,84,1,10,2,6,14,9,6,0,1,1,0,1,2,0,1,1,3,2,1,0,0,0,3,0,1,0,0,0,0,-1.63E+03,3.51E+02,9.58E+02,-4.86E+02,-8.49E+02,-1.46E+03,1.77E+03,-1.26E+03,3.31E+02,6.78E+02,6.44E+02,4.88E+02,-8.98E+02,9.80E+02,4.34E+02,8.80E+02,8.42E+02,-1.46E+03,-1.39E+03,1.06E+03,-6.69E+02,-5.35E+02,-7.17E+02,-1.71E+03,5.17E+02,-1.25E+03,4.65E+02,-6.87E+02,-1.25E+03,4.94E+02,0.480336,0.075386,0.552167,0.137999,0.471028,1.221875,1.180588,0.849782,0.074952,0.269649,0.298248,0.118239,0.374679,0.749205,0.156003,0.536776,0.556384,1.40962,1.069374,0.682568,0.235616,0.246148,0.272052,1.936065,0.292681,0.894454,0.308636,0.333339,0.337582,0.355769
0,98.4615991,319.3166171,5.967835859,59,6,2,18,4,9,6,0,3,4,5,1,5,8,1,0,3,1,1,0,2,0,0,0,0,2,2,0,0,0,-1.36E+03,7.30E+02,-4.67E+02,1.32E+03,-7.06E+02,-1.18E+03,1.47E+03,3.48E+02,8.75E+02,-1.17E+03,1.23E+03,8.45E+02,1.72E+03,1.81E+03,-7.52E+02,5.08E+02,-1.29E+03,-9.58E+02,1.08E+03,6.10E+02,-1.50E+03,5.35E+02,-7.17E+02,6.45E+02,5.17E+02,1.62E+03,-1.04E+03,6.87E+02,-1.25E+03,4.94E+02,0.337379,0.326672,0.131468,1.02119,0.326096,0.800539,0.807771,0.065368,0.524667,0.808947,1.093576,0.354716,1.373823,2.547297,0.468009,0.178925,1.29823,0.604123,0.641624,0.227523,1.178079,0.246148,0.272052,0.276581,0.292681,1.490757,1.543179,0.333339,0.337582,0.355769
0,101.8624771,312.1104498,3.282030591,61,2,12,37,1,7,4,0,2,5,2,3,3,9,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,-1.39E+03,4.53E+02,-1.05E+03,-1.88E+03,-4.08E+02,1.05E+03,-1.22E+03,-3.48E+02,-7.39E+02,1.30E+03,8.31E+02,-1.29E+03,-1.37E+03,-1.91E+03,4.34E+02,-5.08E+02,8.42E+02,-5.53E+02,6.22E+02,6.10E+02,6.69E+02,-9.26E+02,7.17E+02,6.45E+02,8.96E+02,-7.23E+02,4.65E+02,6.87E+02,-1.25E+03,-4.94E+02,0.348816,0.125643,0.657342,2.069981,0.108699,0.632004,0.559226,0.065368,0.374762,0.988713,0.49708,0.827671,0.874251,2.846979,0.156003,0.178925,0.556384,0.201374,0.213875,0.227523,0.235616,0.738443,0.272052,0.276581,0.878042,0.298151,0.308636,0.333339,0.337582,0.355769
